"V1","location_name","date","allbed_mean","allbed_lower","allbed_upper","ICUbed_mean","ICUbed_lower","ICUbed_upper","InvVen_mean","InvVen_lower","InvVen_upper","deaths_mean","deaths_lower","deaths_upper","admis_mean","admis_lower","admis_upper","newICU_mean","newICU_lower","newICU_upper","totdea_mean","totdea_lower","totdea_upper","bedover_mean","bedover_lower","bedover_upper","icuover_mean","icuover_lower","icuover_upper","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
8211,"Delaware","2020-05-04",326.652237675826,228.22875,544.604779411765,96.2498278490816,71.5475,151.591176470588,87.0887861035035,63.25,139.365992647059,10.559,8,17,41.2493602156315,23.45,77.1182773109244,12.6648737884965,7.75,23.1533482142857,190.081,181,209,0,0,0,55.2498278490816,30.5475,110.591176470588,"projected",-49.4828429822018,"projected",473.968081472907,,837.108682516474,"178.558810464223","2962.33718341642"
8212,"Delaware","2020-05-05",323.238436260996,218.29625,549.780882352941,95.9018693299519,68.9475,154.338511029412,86.4846233725812,60.7475,142.317922794118,10.53,7,18,39.9168095721014,20.19875,78.1908088235294,12.2420961524758,6.85,22.8837316176471,200.611,189,227,0,0,0,54.901869329952,27.9475,113.338511029412,"projected",-49.4783774765724,"projected",481.922054352785,,825.806229904115,"165.681267347696","3024.24575752886"
8213,"Delaware","2020-05-06",317.303626529843,204.19125,558.469642857143,94.7934239521787,65.34625,157.453125,85.2341475002079,57.29875,144.135294117647,10.436,7,18,37.9672533125328,17.6975,78.4713235294118,11.7344770834042,5.85,23.7132352941176,211.047,196,245,0,0,0,53.7934239521787,24.34625,116.453125,"projected",-49.4760046386509,"projected",489.876027232665,,819.595835001881,"155.060839020443","3091.95834576829"
8214,"Delaware","2020-05-07",310.30518870314,190.945,567.047058823529,93.3683130076795,61.74875,161.117830882353,83.677074391106,53.84875,146.45,10.255,7,18,36.5901178430144,16.2425,79.2977022058824,11.3299853437799,5.5,23.2992647058823,221.302,203,263,0,0,0,52.3683130076795,20.74875,120.117830882353,"projected",-49.4747437825981,"projected",497.830000112543,,812.239692525783,"144.560481423175","3104.6232732788"
8215,"Delaware","2020-05-08",302.492094681273,177.85,570.729241071429,91.8256923036286,57.74625,164.158035714286,82.0236329168982,50.09875,150.010714285714,9.991,6,18,35.5961607126319,14.95,78.3696428571428,11.0483477944484,5.15,23.5701041666667,231.293,209,281,0,0,0,50.8256923036286,16.74625,123.158035714286,"projected",-49.4740738008974,"projected",505.783972992423,,802.039839876666,"133.868766267312","3105.53680931435"
8216,"Delaware","2020-05-09",294.638774465339,161.69875,579.9515625,89.9050988305511,53.6,169,80.100773873409,46.4,152.689955357143,9.656,6,18,34.7856899051456,13.29875,79.4375,10.6949378575587,4.34875,23.5109375,240.949,215,300.025,0,0,0,48.9050988305511,12.6,128,"projected",-49.4737177923918,"projected",513.737945872302,,782.667685556575,"122.745004763472","3101.50748630665"
8217,"Delaware","2020-05-10",286.980100289515,148.5925,582.1984375,88.0403036916858,49.3975,169.9765625,78.2795297395071,42.5,153.95,9.273,5,18,34.1872847762789,12.15,80.5633333333333,10.4021787341185,4.05,23.515625,250.222,221,317.025,0,0,0,47.0403036916858,8.3975,128.9765625,"projected",-49.4735286199771,"projected",521.691918752181,,757.891365944211,"112.205872440114","3068.14951911489"
8218,"Delaware","2020-05-11",279.746203831695,135.14,583.071205357143,86.3194222417847,45.85,171.9625,76.6107069318753,39.54875,156.130803571429,8.839,4,18,33.1495747023101,11.74875,79.8314732142857,10.1562899180455,3.89875,23.8763392857143,259.061,225,335,0,0,0,45.3194222417847,4.85,130.9625,"projected",-49.4734280993381,"projected",529.64589163206,,747.580468911081,"104.161992763693","3080.91255270765"
8219,"Delaware","2020-05-12",273.119937029603,127.095,587.4625,84.5021399948306,42.39875,175.072767857143,74.942113103649,36.59875,158.258035714286,8.528,4,18,32.4701634740603,11.05,80.6255514705882,9.93963959228766,3.75,24.1379464285714,267.589,229,352.05,0,0,0,43.5021399948306,1.39875,134.072767857143,"projected",-49.4733746856368,"projected",537.599864511938,,739.861528551929,"97.0548458911828","3112.12735297805"
8220,"Delaware","2020-05-13",267.26933643375,119.49875,595.012276785714,82.770931790449,39.54875,175.125,73.3782058635937,34.195,158.204479166667,8.326,4,18,31.837246189758,10,82.8014285714286,9.74908926473423,3.545,24.1361607142857,275.915,233,371.05,0,0,0,41.770931790449,0,134.125,"projected",-49.473346303172,"projected",545.553837391818,,725.887835963906,"89.6172517085215","3117.2962553157"
8221,"Delaware","2020-05-14",261.995985920542,109.945,597.381904761905,80.961277846719,36.39875,176.950729166667,71.7751388854867,31.39625,159.892380952381,8.102,3,18,31.2465624686717,8.65,81.0390625,9.52430945108813,2.9,24.0766666666667,284.017,236,391,0,0,0,39.961277846719,0,135.950729166667,"projected",-49.4733312215678,"projected",553.507810271696,,701.929928258921,"81.1243009541737","3079.75006885828"
8222,"Delaware","2020-05-15",257.212087589354,100.49875,600.493125,79.162784542427,33.94875,177.892738095238,70.2045921655572,29.39375,162.327008928571,7.923,3,18,30.775143831345,8.24625,83.4733333333333,9.35335313273758,2.75,24.634375,291.94,239,408.025,0,0,0,38.162784542427,0,136.892738095238,"projected",-49.4733232076483,"projected",561.461783151576,,678.139863046962,"73.1985283723305","3038.24903779189"
8223,"Delaware","2020-05-16",252.312449674809,94.64875,606.654375,77.4018540669169,31.34625,181.746428571429,68.6844195670643,26.94875,165,7.739,3,19,30.2793342375547,8.15,80.9631696428571,9.20927595374182,2.6,25.4675,299.679,242,425.05,0,0,0,36.4018540669169,0,140.746428571429,"projected",-49.473318949288,"projected",569.415756031455,,668.711723118119,"67.726000877039","3050.42774096975"
